Site|Client|Owner|Order Id|Status|Order Type|Retailer Id|Address id|To Postal code|To County|To Country|Carrier Id|Dispatch Method|Lines|Total weight|Total volume|Qty ordered|Qty shipped|Shipped in full|Creation Date|Order Date|Ship By Date|Deliver By Date|Released|Allocated|In Progress|Picked|Packed|Awaiting|Ready To Load|Complete|Shipped|Creation to Ready to Load|Creation to Shipped|Ready to Load to Shipped
BRCJM01|BRJAC|BRJAC|AJUSTE-1908|Shipped|||C6413358204|01013-915|SP|BR|DSV||9|0|0|33|33|Y|08-19-2026 12:21:51|08-19-2026 12:11:23|||08-19-2026 12:26:38|08-19-2026 12:35:07|08-19-2026 12:38:58|08-19-2026 12:40:16|08-19-2026 14:26:23||08-19-2026 14:26:48|09-01-2026 14:38:43|09-01-2026 14:38:46|2.08|314.28|312.2
BRCJM01|BRJAC|BRJAC|RETJAC-2708|Shipped|||C6413358204|01013-915|SP|BR|TRANSP DSV||2|0|0|201|201|Y|08-27-2026 10:30:03|08-27-2026 10:09:51|||08-27-2026 10:31:34|08-27-2026 10:32:30|08-27-2026 16:31:08|08-31-2026 14:52:06|08-31-2026 14:52:30||08-31-2026 14:52:40|08-31-2026 14:53:10|08-31-2026 14:53:12|100.38|100.39|.01
BRCJM01|BRJAC|BRJAC|RETJAC-3108|Shipped|||C6413358204|01013-915|SP|BR|TRANSP DSV||4|0|0|422|422|Y|08-31-2026 16:22:36|08-31-2026 16:14:14|||09-01-2026 11:45:03|09-01-2026 11:46:51|09-01-2026 11:48:31|09-01-2026 11:49:19|09-01-2026 11:49:55||09-01-2026 11:50:01|09-01-2026 11:50:38|09-01-2026 11:50:38|19.46|19.47|.01
